user_id,prakriti_type,age,gender,stress_level,sleep_hours,activity_level,diet_type,meditation_minutes,profile_created_at,date,transaction_description,category,amount,type,Finance_Health_Score,Prakriti_Index,Sustainability_Score
1,Kapha,39,M,Low,6.8,Moderate,Vegetarian,3,16-08-2024,02-01-2020,Score each.,Food & Drink,1485.69,Expense,0,3,30
2,Vata,23,M,Medium,7.4,Active,Vegetarian,0,27-08-2025,02-01-2020,Quality throughout.,Utilities,1475.58,Expense,0,1,10
3,Pitta,50,M,Low,7.8,Sedentary,Vegetarian,0,01-06-2025,04-01-2020,Instead ahead despite measure ago.,Rent,1185.08,Expense,0,2,20
4,Kapha,29,M,Medium,6.4,Active,Mixed,0,12-07-2025,05-01-2020,Information last everything thank serve.,Investment,2291,Income,0,3,30
5,Pitta,37,M,Medium,4.9,Moderate,Vegetarian,1,12-06-2024,13-01-2020,Future choice whatever from.,Food & Drink,1126.88,Expense,0,2,20
6,Kapha,43,F,Medium,5.3,Sedentary,Vegetarian,0,10-12-2024,14-01-2020,Benefit suggest page southern.,Shopping,448.68,Expense,0,3,30
7,Vata,25,M,Medium,5.4,Moderate,Non-Vegetarian,1,10-09-2025,18-01-2020,By two bad fall pick.,Food & Drink,1520.03,Expense,0,1,10
8,Pitta,28,M,Medium,7.7,Active,Vegetarian,2,22-01-2025,19-01-2020,Court attorney product significant world.,Other,3287,Income,0,2,20
9,Vata,29,F,High,7.1,Active,Non-Vegetarian,2,14-08-2025,21-01-2020,Herself law.,Entertainment,1914.85,Expense,0,1,10
10,Vata,28,M,Low,8,Sedentary,Non-Vegetarian,0,22-03-2024,25-01-2020,Have decide environment.,Rent,766.06,Expense,0,1,10
11,Vata,28,M,Medium,9,Moderate,Mixed,0,08-01-2025,25-01-2020,Play move each left establish.,Health & Fitness,1211.41,Expense,0,1,10
12,Vata,29,F,Medium,7,Active,Non-Vegetarian,7,14-03-2024,26-01-2020,Range successful simply.,Salary,1077.09,Expense,0,1,10
13,Kapha,43,M,Medium,5.7,Sedentary,Vegetarian,1,18-04-2025,29-01-2020,Source husband.,Shopping,166.81,Expense,0,3,30
14,Pitta,62,F,High,8.3,Active,Mixed,0,24-07-2025,30-01-2020,Tree note responsibility.,Health & Fitness,1158.93,Expense,0,2,20
15,Vata,42,F,High,7.2,Sedentary,Vegetarian,0,02-02-2024,31-01-2020,How trip learn enter.,Food & Drink,1325.91,Expense,0,1,10
16,Pitta,24,F,Low,5.3,Sedentary,Mixed,0,18-11-2024,31-01-2020,Much section investment on gun.,Rent,1712.08,Expense,0,2,20
17,Vata,30,F,Medium,8.2,Active,Non-Vegetarian,0,26-05-2024,31-01-2020,Management sense technology check civil.,Shopping,563.17,Expense,0,1,10
18,Pitta,23,M,Low,7.1,Active,Mixed,4,26-09-2024,02-02-2020,As high you more wife.,Health & Fitness,333.68,Expense,0,2,20
19,Kapha,28,F,High,7.7,Moderate,Non-Vegetarian,0,12-08-2024,04-02-2020,Race mr.,Travel,1406.62,Expense,0,3,30
20,Vata,40,F,Low,8,Sedentary,Vegetarian,3,05-06-2024,05-02-2020,Born itself law west.,Rent,1222.17,Expense,0,1,10
21,Kapha,26,M,Medium,6.7,Moderate,Mixed,5,06-03-2024,05-02-2020,Seven medical blood personal.,Investment,1838,Income,0,3,30
22,Pitta,19,F,Medium,8.2,Moderate,Mixed,0,14-09-2024,07-02-2020,Current hear claim well two.,Travel,1979.15,Expense,0,2,20
23,Kapha,23,M,Medium,5.7,Sedentary,Mixed,3,03-07-2025,07-02-2020,Food affect upon these story.,Entertainment,1372.38,Expense,0,3,30
24,Pitta,43,F,Low,7.3,Moderate,Vegetarian,1,09-04-2025,08-02-2020,Around there water.,Food & Drink,465.81,Expense,0,2,20
25,Vata,38,F,High,6.3,Sedentary,Mixed,4,18-04-2024,08-02-2020,Staff within mouth call.,Other,3786,Income,0,1,10
26,Kapha,49,F,High,7.4,Active,Mixed,2,22-07-2024,09-02-2020,Close month parent who up.,Entertainment,1827.14,Expense,0,3,30
27,Vata,18,F,Medium,7.9,Active,Mixed,0,01-01-2024,11-02-2020,Human public health.,Health & Fitness,433.13,Expense,0,1,10
28,Kapha,20,F,Medium,8.1,Sedentary,Non-Vegetarian,2,10-11-2024,13-02-2020,Building different full open.,Salary,294.31,Expense,0,3,30
29,Vata,32,M,Low,7.4,Active,Vegetarian,1,28-03-2024,15-02-2020,Detail audience piece director town.,Other,4009,Income,0,1,10
30,Kapha,27,F,High,7.8,Active,Vegetarian,0,11-05-2024,16-02-2020,Method everything.,Shopping,730.37,Expense,0,3,30
31,Kapha,26,F,High,6.4,Sedentary,Non-Vegetarian,7,24-06-2025,16-02-2020,Much rich think.,Utilities,1023.96,Expense,0,3,30
32,Kapha,40,F,High,8.3,Active,Mixed,6,24-07-2024,18-02-2020,Drug list imagine behind.,Investment,1398,Income,0,3,30
33,Kapha,29,F,Medium,7.6,Active,Mixed,6,17-01-2025,19-02-2020,Interest level rock pull.,Investment,3958,Income,0,3,30
34,Pitta,48,F,Low,7.2,Sedentary,Vegetarian,6,12-12-2024,20-02-2020,I fund.,Shopping,769.42,Expense,0,2,20
35,Vata,27,M,Medium,6.6,Sedentary,Vegetarian,0,01-03-2024,26-02-2020,Court movie cell.,Travel,1942.45,Expense,0,1,10
36,Vata,47,M,High,6.7,Moderate,Vegetarian,5,10-06-2025,27-02-2020,Leg themselves away.,Food & Drink,1363.76,Expense,0,1,10
37,Vata,35,F,Medium,6.7,Sedentary,Mixed,1,15-05-2024,28-02-2020,Anything yourself.,Other,3286,Income,0,1,10
38,Kapha,31,F,Low,6.7,Moderate,Non-Vegetarian,1,13-07-2024,28-02-2020,Unit support.,Other,1795,Income,0,3,30
39,Vata,33,M,Medium,7.4,Moderate,Non-Vegetarian,2,24-02-2025,29-02-2020,Magazine degree husband around.,Travel,1944.06,Expense,0,1,10
40,Pitta,25,M,Medium,8.5,Active,Vegetarian,10,03-03-2024,03-03-2020,World enter.,Rent,1742.33,Expense,0,2,20
41,Pitta,18,F,High,7,Sedentary,Vegetarian,1,15-07-2024,04-03-2020,Institution whatever yet.,Entertainment,314.15,Expense,0,2,20
42,Vata,36,F,Low,6.5,Sedentary,Non-Vegetarian,2,18-04-2025,04-03-2020,Choice father why often.,Food & Drink,1201.9,Expense,0,1,10
43,Vata,33,M,Medium,7.3,Active,Vegetarian,0,21-02-2024,09-03-2020,Security arm.,Rent,1858.91,Expense,0,1,10
44,Kapha,38,M,High,7,Sedentary,Vegetarian,0,20-02-2025,09-03-2020,Me system church whether.,Travel,486.51,Expense,0,3,30
45,Pitta,46,F,Low,7.8,Moderate,Vegetarian,0,17-06-2024,11-03-2020,Attention attack technology.,Rent,180.45,Expense,0,2,20
46,Pitta,26,M,High,8.5,Moderate,Non-Vegetarian,3,19-10-2024,11-03-2020,Walk now often.,Rent,1956.19,Expense,0,2,20
47,Pitta,40,F,Low,9.4,Moderate,Vegetarian,0,29-02-2024,12-03-2020,Bank price north first end.,Utilities,265.5,Expense,0,2,20
48,Kapha,30,M,Medium,8,Sedentary,Vegetarian,0,21-08-2025,12-03-2020,Enter capital population.,Utilities,537.46,Expense,0,3,30
49,Pitta,35,M,Low,6.4,Active,Vegetarian,3,09-07-2024,14-03-2020,Upon very act perform.,Shopping,1929.08,Expense,0,2,20
50,Vata,35,M,Medium,6.6,Sedentary,Non-Vegetarian,0,02-05-2024,15-03-2020,Available defense.,Entertainment,1428.77,Expense,0,1,10
51,Kapha,24,M,Medium,7.5,Sedentary,Mixed,3,24-03-2024,18-03-2020,Value thing these.,Health & Fitness,881.82,Expense,0,3,30
52,Pitta,41,F,High,6.8,Sedentary,Mixed,0,17-11-2024,21-03-2020,Citizen street region.,Rent,503.33,Expense,0,2,20
53,Vata,27,F,Medium,6.6,Active,Mixed,7,03-11-2024,23-03-2020,Property never.,Investment,2385,Income,0,1,10
54,Pitta,31,F,High,7.6,Sedentary,Vegetarian,3,14-04-2025,23-03-2020,Enough threat score.,Food & Drink,151.28,Expense,0,2,20
55,Kapha,37,M,Low,8.4,Sedentary,Mixed,2,28-09-2024,24-03-2020,Example decision garden.,Entertainment,144.13,Expense,0,3,30
56,Vata,31,F,High,6.8,Sedentary,Non-Vegetarian,6,18-10-2024,28-03-2020,Major town suffer begin.,Other,1080,Income,0,1,10
57,Vata,37,F,High,7.9,Active,Non-Vegetarian,1,18-09-2025,01-04-2020,Analysis four capital.,Travel,1341.27,Expense,0,1,10
58,Kapha,47,M,Medium,6,Active,Non-Vegetarian,6,16-04-2024,05-04-2020,Scientist necessary into.,Utilities,1449.47,Expense,0,3,30
59,Vata,37,F,Low,7.4,Sedentary,Mixed,3,20-07-2025,06-04-2020,Away third.,Salary,493.56,Expense,0,1,10
60,Vata,37,F,Low,7.9,Sedentary,Mixed,0,17-12-2024,06-04-2020,Along hard need involve among.,Shopping,388.92,Expense,0,1,10
61,Vata,37,F,Medium,6.2,Moderate,Vegetarian,0,04-04-2024,10-04-2020,Together decide.,Other,3402,Income,0,1,10
62,Kapha,36,F,High,5.7,Sedentary,Vegetarian,3,07-12-2024,17-04-2020,Government nice.,Salary,1729.04,Expense,0,3,30
63,Vata,23,F,Low,7.7,Moderate,Mixed,3,13-03-2025,17-04-2020,See understand door class son.,Investment,996,Income,0,1,10
64,Kapha,27,M,Low,5.8,Active,Vegetarian,4,12-07-2025,18-04-2020,Agent say forward us.,Health & Fitness,1603.18,Expense,0,3,30
65,Vata,44,F,Medium,7.5,Sedentary,Non-Vegetarian,3,10-05-2024,22-04-2020,City red him.,Investment,2058,Income,0,1,10
66,Vata,26,F,Medium,7.2,Sedentary,Non-Vegetarian,1,03-08-2024,23-04-2020,Develop staff least figure.,Utilities,849.54,Expense,0,1,10
67,Kapha,26,M,Medium,6.1,Moderate,Mixed,10,20-02-2025,25-04-2020,Age cover foreign.,Entertainment,1750.23,Expense,0,3,30
68,Kapha,43,M,High,6.7,Sedentary,Vegetarian,2,30-06-2024,26-04-2020,Go meeting quickly.,Investment,914,Income,0,3,30
69,Pitta,35,M,Low,8.6,Moderate,Non-Vegetarian,2,11-09-2024,26-04-2020,Voice boy wife condition.,Food & Drink,1938.3,Expense,0,2,20
70,Pitta,20,M,Medium,7,Sedentary,Non-Vegetarian,3,09-02-2024,27-04-2020,Board its.,Entertainment,340.96,Expense,0,2,20
71,Pitta,24,M,Low,7.5,Moderate,Non-Vegetarian,8,08-11-2024,27-04-2020,Paper memory history office.,Entertainment,1730.65,Expense,0,2,20
72,Vata,33,M,Low,7.8,Sedentary,Non-Vegetarian,10,02-12-2024,29-04-2020,Remember ability.,Utilities,764.16,Expense,0,1,10
73,Pitta,26,M,High,5.3,Moderate,Non-Vegetarian,5,05-06-2025,30-04-2020,Hair attorney professional.,Travel,1853.77,Expense,0,2,20
74,Pitta,25,F,High,6.4,Sedentary,Non-Vegetarian,2,01-07-2024,01-05-2020,Finish summer rest feel finally.,Travel,851.78,Expense,0,2,20
75,Kapha,36,F,Low,7.4,Active,Non-Vegetarian,2,19-12-2024,03-05-2020,I fast camera inside.,Salary,318.05,Expense,0,3,30
76,Kapha,37,F,Medium,6.1,Active,Vegetarian,13,29-01-2025,03-05-2020,Past feeling nature.,Food & Drink,1162.57,Expense,0,3,30
77,Kapha,35,M,Low,5.7,Active,Non-Vegetarian,6,02-01-2024,05-05-2020,Expert involve oil.,Health & Fitness,123.76,Expense,0,3,30
78,Kapha,43,M,Medium,8.2,Sedentary,Mixed,3,04-12-2024,06-05-2020,Kid put memory soldier.,Utilities,123.19,Expense,0,3,30
79,Kapha,21,F,Medium,6,Sedentary,Mixed,4,03-11-2024,06-05-2020,Exist professional.,Utilities,146.36,Expense,0,3,30
80,Kapha,38,F,Medium,7.3,Moderate,Non-Vegetarian,7,29-10-2024,07-05-2020,Stand seem.,Investment,3807,Income,0,3,30
81,Kapha,40,M,Low,10,Active,Non-Vegetarian,4,27-06-2024,11-05-2020,Southern challenge animal.,Investment,825,Income,0,3,30
82,Kapha,48,F,Medium,8.1,Sedentary,Non-Vegetarian,4,20-10-2024,12-05-2020,Sure authority increase picture create.,Shopping,1318.17,Expense,0,3,30
83,Vata,31,F,Medium,7.8,Active,Mixed,1,25-11-2024,13-05-2020,Hundred challenge reach throughout.,Health & Fitness,1870.07,Expense,0,1,10
84,Pitta,36,F,Medium,6.1,Sedentary,Mixed,0,29-04-2025,14-05-2020,Despite sound receive let.,Health & Fitness,484.99,Expense,0,2,20
85,Kapha,58,M,Medium,4.9,Moderate,Mixed,1,26-09-2025,15-05-2020,True building card.,Travel,919.88,Expense,0,3,30
86,Pitta,30,M,High,7.1,Sedentary,Mixed,0,13-11-2024,16-05-2020,Write other wear through partner.,Rent,28.54,Expense,0,2,20
87,Vata,30,M,Low,8.2,Sedentary,Vegetarian,0,01-05-2025,17-05-2020,Store natural today season.,Rent,155.79,Expense,0,1,10
88,Kapha,50,M,Medium,7.1,Active,Mixed,0,18-07-2024,19-05-2020,Else easy point she.,Travel,273.59,Expense,0,3,30
89,Kapha,27,F,Medium,7.2,Sedentary,Vegetarian,0,06-01-2024,20-05-2020,Phone ever back experience.,Rent,1759.75,Expense,0,3,30
90,Vata,58,F,Low,9,Active,Mixed,3,20-04-2025,21-05-2020,Floor music catch discuss.,Utilities,881.99,Expense,0,1,10
91,Vata,18,M,High,7.2,Sedentary,Non-Vegetarian,4,16-05-2024,25-05-2020,Ask imagine my.,Travel,1227.24,Expense,0,1,10
